영화평점,영화감상평
10,반전!!!꼭 또 보고싶은 마블영화!!
10,연기 잘하고 내용이 나쁘지는 않는데 들어가지 않아도 될 액션들이 많이 들어간듯...어쩄든 저는 너무 재밌게 잘 봤습니다 ㅎㅎ
10,진입장벽 높지만 이해하고 보면 재밌어요ㅎㅎ
10,마블 역대영화중 최애 또 보러가야지
8,그럭저럭 재밌게 보았으나 무서운 걸 싫어해서 중간중간 좀 힘들었습니다
2,영화가 조잡하다. 분명 처음 보는 영화인데 스토리 진행이 어떻게 될지 다 예상이된다.
10,넘나 재밌음. 꼭 보세요.
8,다른 시리즈처럼 완전 재미있다 이정도는 아니고 볼만하다는정도 마블 팬으로써 기대를 많이 했는데 약간 아쉽네요ㅜㅜ
10,마블빠인 저는 엄청 재밌었습니다. 하지만 마블 팬이 아니라면 조금 고민하셔야 할 거예요. 진성 마블팬만을 위한 팬무비
6,마블 시리즈 나름 챙겨보는 편인데도 이번편은 그닥....
4,완다비전을 안봐서그런지 이해와 공감이 안갔음 좀 아쉬움 점점 유치해져가는건지 내가 나이든건지
6,"감독이 망친 극본이네요,,"
2,진짜 유치유치. 별1개도 아깝다. 마이너스별 주고싶다.
8,마블 영화에 호러스러운 연출이 많이 나와서 당황스러웠다.
10,코로나 풀리고 모처럼 팝콘 먹으면서 여자친구와 재밌는 추억을 보냈네요!
2,비급 호러 좀비물. 닥터 스트레인지가 아깝다.
10,캬 역시 외국 씨지는..
2,내가 본 마블 시리즈중 최악인듯.어색한 연출과 분장때문에 연기자들 연기력이 좀 그러네요.음표 싸움에서 할말 잃었고 시체 분장에서 또 할말을 잃어버림.기대를 많이해서 그런지 이번작은 마블 시리즈중 최악입니다.
1,대놓고 일루미나티 광고하고 한쪽눈깔 강조하는 영화!!!
10,공부 열심히해야겠다고 생각든 영화 꿀잼 ㅠ
4,마법사 버전 노웨이홈 ... :(
10,로키 완다비전 왓이프까지 보느라 고생한 나 칭찬해~
7,아쉬운건 어쩔수 없음
6,마블의 장벽은 점점 더 높아지고
10,"디즈니플러스에서 ""완다 비전""과 ""왓 이프"" 를 시청하고, 샘레이미 감독의 이전 작품들을 봤거나 어떤 내용인지 아는 사람들은 감동 200배. 그게 아니라면 이게 뭔일인가 싶을듯. 갑자기 전개되는 스토리에 당황하고, 샘레이미의 독특한 공포영화 클리셰와 이전 작품들의 오마주를 전혀 느끼지 못하고 재미는 절반으로 줄어듬..."
8,스타일이 독특해서 나름 재밌었어요. 12세는 확실히 아니에요.
7,샘레이미의 재기발랄한 연출은 마블에서도 종횡무진 돋보이는데 배경정보 없이 보기에는 스토리가 너무 복잡해서 어렵다..
10,마블이 만들어서 기대하고 왔는데 정말 재밌읍니다.
10,강추합니다 다시볼예정
9,중간중간 웃음포인트도 잇고재밋었어요ㅜ
10,완다비전이랑 로키 보셔야 재밌어요저는 둘다 보아서 너무너무 재밌었어요재미없다고 그래서 기대 1도 안했는데재밌어서 놀라버림
8,기대없이 보면 잼남. 샘레이미식 B급 공포영화 느낌이 좋았음.
10,영화 평점이 왜 생각보다 낮은지 잘 모르겠지만 아는만큼 보이는게 아닐까?
10,마블를 인피니트 워 포함해서 2번째로 보는데 이거 닥터스트레인지: 대혼돈의 멀티버스보니까 마블이 재미있어졌어요
10,재미없다고하는 사람들은 마블 제대로 안 본 사람들디즈니플러스 드라마도 안 본 사람들그냥 할많하않
10,"진짜 재밌는데, 점수가 낮은 이유를 모르겠다."
