분류,spell_check
1,반전 꼭 또 보고 싶은 마블 영화
1,연기 잘하고 내용이 나쁘지는 않는데 들어가지 않아도 될 액션들이 많이 들어간 듯 어쩄든 저는 너무 재밌게 잘 봤습니다 
1,진입장벽 높지만 이해하고 보면 재밌어요 
1,마블 역대 영화 중 최애 또 보러 가야지
1,넘나 재밌음 꼭 보세요
1,마블빠인 저는 엄청 재밌었습니다 하지만 마블 팬이 아니라면 조금 고민하셔야 할 거예요 진성 마블 팬만을 위한 팬무비
1,코로나 풀리고 모처럼 팝콘 먹으면서 여자친구와 재밌는 추억을 보냈네요 
1,캬 역시 외국 씨지는
1,공부 열심히 해야겠다고 생각 든 영화 꿀 잼
1,로키 완다 비전 왓 이프까지 보느라 고생한 나 칭찬해 
1,디즈니 플러스에서 완다 비전과 왓 이프를 시청하고 샘 레이미 감독의 이전 작품들을 봤거나 어떤 내용인지 아는 사람들은 감동 200배 그게 아니라면 이게 뭔 일인가 싶을 듯 갑자기 전개되는 스토리에 당황하고 샘 레이미의 독특한 공포영화 클리셰와 이전 작품들의 오마주를 전혀 느끼지 못하고 재미는 절반으로 줄어듦
1,마블이 만들어서 기대하고 왔는데 정말 재밌습니다
1,강추합니다 다시 볼 예정
1,중간중간 웃음 포인트도 잇고 재밌었어요
1,완다 비전이랑 로키 보셔야 재밌어요 저는 둘 다 보아서 너무너무 재밌었어요 재미없다고 그래서 기대 1도 안 했는데 재밌어서 놀라버림
1,영화 평점이 왜 생각보다 낮은지 잘 모르겠지만 아는 만큼 보이는 게 아닐까 
1,마블를 인피니트 워 포함해서 2번째로 보는데 이거 닥터 스트레인지 대혼돈의 멀티버스 보니까 마블이 재미있어졌어요
1,재미없다고 하는 사람들은 마블 제대로 안 본 사람들 디즈니 플러스 드라마도 안 본 사람들 그냥 할많하않
1,진짜 재밌는데 점수가 낮은 이유를 모르겠다
1,난 개 재밌게 봤는데 
1,저는 개 재미있게 봤는데 호불호가 많이 갈리나 보네요
1,잉 나는 진짜 재밌게 봄 이터 널스 스파이더맨 최근 꺼 베놈 2 보다 배로 훨훨 훨씬 재밌었음 약간 스릴러도 섞인 닥스 느낌 역시 닥스는 배신하지 않는다 너무 재밌음 시간 가는 줄 몰랐음
1,스토리는 평범할 수 있느나 연출이나 영상미는 정말 신선하다 
1,대의를 위해 움직이는 히어로 닥터 스트레인지 모든 것을 잃고 방황하는 상실의 히어로 스칼렛 위치 두 히어로의 서로 다른 가치를 지키기 위한 멀티버스를 넘나드는 여정 필수적으로 봐야 하는 이전 작품 닥터 스트레인지 어벤저스 인피니티 워 엔드게임 완다 비전
1,마블 드라마까지 다 챙겨 보는데 진짜 역대급 대전 잼 첨부터 끝까지 거를 타선이 없다 평점 왜 이런지 정말 모르겠네
1,약간 찐한 히어로물 원하면 별론데 고어틱하면서 판타지 영화로써 보면 최고
1,솔직히 마블 시리즈 영화 처음 보는 사람으로서 마블의 세계는 넓구나 생각했음
1,재미있는데 전작에 비하면 조금 아쉽다는 느낌 
1,너무너무너무 재밌었음 베니랑 리지 연기 미쳤음 
1,나는 너무너무너무 최고 재밌었는데 남자친구는 최악이었다고 함 극과 극
1,졸라 꿀 잼인데
1,제목 그대로 혼돈의 멀티버스였네요 지루할 틈이 없었습니다 그리고 엘리자베스 완다 개쎅시 했어요 
1,너무 재밌게 봤어요 감동적인 부분도 있고 근데 쿠키는 첫 번째 거까지만 보고 나오셔도 될 듯요
1,배우들 연기 장난 아님 영상 연출도 기가 막혔어요 공포랑 액션 감동까지 잘 믹스한 거 같아요
1,왜 평점이 이거밖에 안되지 정말 재밌게 봤는데
1,완다의 비극 공포영화에서 볼 수 있는 연출 영화 상영시간 내내 느낀 사운드
1,무서워요 두 번째 쿠키 대박 
1,마블의 장르적 쾌감도 멀티버스로 대 확장
1,마블 영화 잘 안 보는데 이거 보고 다 봐야 하나 고민이 
1,평점이 갈리는 건 완다 비전을 본 사람과 안 본 사람의 차이
1,마블에서 탑으로 센 두 캐릭터지만 영화에선 기대했던 것보단 세게 안 나와서 좀 그랬지만 그래도 난 재밌던데 
1,닥터 스트레인지만의 차별화된 영상미가 좋아요
1,취향이 많이 탈 영화일 것 같다 나는 정말 재밌게 봄 연출력은 좋은데 각본이 아쉬움 배우들 연기는 최고 코믹스 닥스 원작을 본 사람으로서 이 영화가 닥스를 정말 잘 표현한 것 같다고 생각함
1,너무 재밌게 봤우요 음표는 좀 웃기긴 했지만
1,소름 끼칠 정도로 섬세한 연출과 감독의 아름다운 철학관에 매료되어 정말 오랜만에 황홀감을 느꼈다 천재 감독임은 틀림없다
1,정말 재밌어요 두 번 보고 싶어요 1편보다 재미나
1,그냥 존나 재밌음 다소 유치하다고 느낄 요소가 중간에 딱 두 번 정도 있는데 거슬릴 정도는 아님 전체적으로 잘 만들었음
1,완다가 많이 나와서 좋았음
1,평점 낮아서 기대 안 하고 봤는데 너무너무너무너무 재밌었음 돠 평점 낮은 거 속상해서 첨으로 댓글 닮
1,진짜 마블 영화 최고다 또 보고 싶은 영화 
1,조금 무서웠는데 짜증 잼이에 용
1,첫째 딸이 보러 가자고 해서 가족들 다 같이 보러 갔어요 둘째 딸은 무서워서 아빠 품에서 안겨서 보고 첫째 딸은 무섭지만 재밌었다고 합니다 다음 마블 영화도 기대한다고 하네요
1,재밌기만 한데
1,마블 최고의 호러 및 마법 액션 영화
1,완다 비전이랑 왓 이프 꼭 보고 가야 함
1,약간의 호러물 약간 너프 된 닥스 너프 된 웡 예스러운 연출 만렙 완다 그러나 재밌음
1,장르가 몇 없던 mcu에 새로운 장르를 시도해서 너무 신선했어요
1,역시 마블은 최고의 영화
1,기대했건 캐릭터들은 안 나왔지만 충분히 매력 있게 그려냈다 기존의 마블 영화를 뒤엎었다
1,아 그냥 말다 함 진짜 제발 꼭 봐줘요 너무 행복 
1,멀티버스 넘어 다니는 게 너무 재밌었음
1,너무 재밌었음 마블 중엔 닥터가 최고 
1,완다 타노스랑 싸울 때 뭐 했지 재미는 있었습니다
1,스토리 자체가 좋은 것 같음
1,향후 마블의 멀티버스 세계관이 기다려지네요
1,가족 멜로 영화입니다
1,마블 영화 좋아해서 나쁘지 않아요 유치하고 호러스러운 장면이 있었으나 만족
1,완다 비전 꼭 보고 나서 봐야 해요 마블 팬으로서 너무 재미나게 봤어요 쿠키 2개 있어요
1,재밌어요 3번이나 보러 간 내요
1,이 영화 보고 평점 테러 날린 사람들은 완다 비전 안 보고 보니까 그런 겁니다 완다 비전 보고 안 보고가 이 영화의 재미를 하늘과 땅 차이로 만듭니다 개인적으로 마블 시리즈 중 TOP 3 안에 들어요
1,샘 레이미 감독 연출이 너무 멋있네요
