분류,부정리뷰,cleaned_text,spell_check
부정,영화가 조잡하다. 분명 처음 보는 영화인데 스토리 진행이 어떻게 될지 다 예상이된다.,영화가 조잡하다 분명 처음 보는 영화인데 스토리 진행이 어떻게 될지 다 예상이된다,영화가 조잡하다 분명 처음 보는 영화인데 스토리 진행이 어떻게 될지 다 예상이 된다
부정,완다비전을 안봐서그런지 이해와 공감이 안갔음 좀 아쉬움 점점 유치해져가는건지 내가 나이든건지,완다비전을 안봐서그런지 이해와 공감이 안갔음 좀 아쉬움 점점 유치해져가는건지 내가 나이든건지,완다 비전을 안 봐서 그런지 이해와 공감이 안 갔음 좀 아쉬움 점점 유치해져가는 건지 내가 나이 든 건지
부정,진짜 유치유치. 별1개도 아깝다. 마이너스별 주고싶다.,진짜 유치유치 별1개도 아깝다 마이너스별 주고싶다,진짜 유치 유치 별 1개도 아깝다 마이너스별 주고 싶다
부정,비급 호러 좀비물. 닥터 스트레인지가 아깝다.,비급 호러 좀비물 닥터 스트레인지가 아깝다,비급 호러 좀비물 닥터 스트레인지가 아깝다
부정,내가 본 마블 시리즈중 최악인듯.어색한 연출과 분장때문에 연기자들 연기력이 좀 그러네요.음표 싸움에서 할말 잃었고 시체 분장에서 또 할말을 잃어버림.기대를 많이해서 그런지 이번작은 마블 시리즈중 최악입니다.,내가 본 마블 시리즈중 최악인듯 어색한 연출과 분장때문에 연기자들 연기력이 좀 그러네요 음표 싸움에서 할말 잃었고 시체 분장에서 또 할말을 잃어버림 기대를 많이해서 그런지 이번작은 마블 시리즈중 최악입니다,내가 본 마블 시리즈 중 최악인 듯 어색한 연출과 분장 때문에 연기자들 연기력이 좀 그러네요 음표 싸움에서 할 말 잃었고 시체 분장에서 또 할 말을 잃어버림 기대를 많이 해서 그런지 이번 작은 마블 시리즈 중 최악입니다
부정,대놓고 일루미나티 광고하고 한쪽눈깔 강조하는 영화!!!,대놓고 일루미나티 광고하고 한쪽눈깔 강조하는 영화 ,대놓고 일루미나티 광고하고 한쪽 눈깔 강조하는 영화 
부정,마법사 버전 노웨이홈 ... :(,마법사 버전 노웨이홈 ,마법사 버전 노 웨이 홈
부정,닥터 스트레인지 1편 기대하고 가시면 굉장히 실망합니다시리즈물의 퀄리티는 고사하고 일반적인 영화의 완성도에서 크게 떨어집니다,닥터 스트레인지 1편 기대하고 가시면 굉장히 실망합니다시리즈물의 퀄리티는 고사하고 일반적인 영화의 완성도에서 크게 떨어집니다,닥터 스트레인지 1편 기대하고 가시면 굉장히 실망합니다 시리즈물의 퀄리티는 고사하고 일반적인 영화의 완성도에서 크게 떨어집니다
부정,"쓸데없는 질질 끄는 대사. 혐오,호러물 액션임.그리고 신파 ㅋㅋㅋ",쓸데없는 질질 끄는 대사 혐오 호러물 액션임 그리고 신파 ,쓸데없는 질질 끄는 대사 혐오 호러물 액션임 그리고 신파 
부정,"초반오프닝, 문어괴물, 이마의 제3의눈 등 많은 부분에서 CG퀄리티가 안좋습니다. 닥터,카마르 타지의 수십명이 넘는 마스터들,일루미나티 멤버들까지 모두 완다에겐 상대조차 되지않아 그 강함이 지나칠정도로 표현되어 눈살을 찌푸리게 만듭니다. 완다의 행동도 이해가 안되는게 완다비전에서 마지막에 그간 자신의 행동으로 인해 피해를 끼친걸 인정하고 모니카에게 사과하고 떠나놓고, 마치 반성한일이 없었던양 사람들을 죽이는 모습이 괴리감을 느끼게 만듭니다. 닥터스트레인지 솔로영화로썬 1편은 고사하고 왓이프 닥터스트레인지 편보다도 못합니다.",초반오프닝 문어괴물 이마의 제3의눈 등 많은 부분에서 CG퀄리티가 안좋습니다 닥터 카마르 타지의 수십명이 넘는 마스터들 일루미나티 멤버들까지 모두 완다에겐 상대조차 되지않아 그 강함이 지나칠정도로 표현되어 눈살을 찌푸리게 만듭니다 완다의 행동도 이해가 안되는게 완다비전에서 마지막에 그간 자신의 행동으로 인해 피해를 끼친걸 인정하고 모니카에게 사과하고 떠나놓고 마치 반성한일이 없었던양 사람들을 죽이는 모습이 괴리감을 느끼게 만듭니다 닥터스트레인지 솔로영화로썬 1편은 고사하고 왓이프 닥터스트레인지 편보다도 못합니다,초반 오프닝 문어 괴물 이마의 제3의 눈 등 많은 부분에서 CG 퀄리티가 안 좋습니다 닥터 카마라 타지의 수십 명이 넘는 마스터들 일루미나티 멤버들까지 모두 완다에겐 상대조차 되지 않아 그 강함이 지나칠 정도로 표현되어 눈살을 찌푸리게 만듭니다 완다의 행동도 이해가 안 되는 게 완다 비전에서 마지막에 그간 자신의 행동으로 인해 피해를 끼친 걸 인정하고 모니카에게 사과하고 떠나놓고 마치 반성한 일이 없었던 양 사람들을 죽이는 모습이 괴리감을 느끼게 만듭니다 닥터 스트레인지 솔로 영화로 썬 1편은 고사하고 왓 이프 닥터 스트레인지 편보다도 못합니다
부정,30분 보다가 졸았어요.언제끝나나 시계만 본..,30분 보다가 졸았어요 언제끝나나 시계만 본,30분 보다가 졸았어요 언제 끝나나 시계만 본
부정,한마디로 평가한다 야발 내안본눈 산다,한마디로 평가한다 야발 내안본눈 산다,한마디로 평가한다 야발 내 안 본 눈 산다
부정,연출.. 스토리.. ost...촌스럽다...,연출 스토리 ost 촌스럽다,연출 스토리 ost 촌스럽다
부정,너무재미없어서 지겨워 죽는줄 알았습니다마블 시리즈 좋아하는 남편도 마블작품중 최악이라며…같이본 초5딸만 너무너무 재미있었다네요…,너무재미없어서 지겨워 죽는줄 알았습니다마블 시리즈 좋아하는 남편도 마블작품중 최악이라며 같이본 초5딸만 너무너무 재미있었다네요 ,너무 재미없어서 지겨워 죽는 줄 알았습니다 마블 시리즈 좋아하는 남편도 마블 작품 중 최악이라며 같이 본 초5 딸만 너무너무 재미있었다네요 
부정,나의 히어로 스트레인지를 왜 셈 레이미식 그루지 호러 스릴러로 만들어놨냐?꼬마 여주는 전혀 주인공으로서 매력이 없고 중간에 일루미나티 판타스틱4는 뭐며 오그라드는 전투씬에 내 최애 완다는 빨간 눈만 기억될 듯. 그나마 첫 부분 돌문어 잡을때가 젤 재밋었다,나의 히어로 스트레인지를 왜 셈 레이미식 그루지 호러 스릴러로 만들어놨냐 꼬마 여주는 전혀 주인공으로서 매력이 없고 중간에 일루미나티 판타스틱4는 뭐며 오그라드는 전투씬에 내 최애 완다는 빨간 눈만 기억될 듯 그나마 첫 부분 돌문어 잡을때가 젤 재밋었다,나의 히어로 스트레인지를 왜 셈 레이미 식 그루지 호러 스릴러로 만들어놨냐 꼬마 여주는 전혀 주인공으로서 매력이 없고 중간에 일루미나티 판타스틱 4는 뭐며 오그라드는 전투신에 내 최애 완다는 빨간 눈만 기억될 듯 그나마 첫 부분 돌문어 잡을 때가 젤 재밌었다
부정,"제목만 닥터스트레인지 주인공은 완다... 완전히 기대 이하닥터의 성장도 얼렁뚱땅 설정도 얼렁뚱땅...억지스러운 전개, 허술한 설정들, 하는것도 없이 멍청한 대사만 남발하는 닥터스트레인지.. 총채적난국",제목만 닥터스트레인지 주인공은 완다 완전히 기대 이하닥터의 성장도 얼렁뚱땅 설정도 얼렁뚱땅 억지스러운 전개 허술한 설정들 하는것도 없이 멍청한 대사만 남발하는 닥터스트레인지 총채적난국,제목만 닥터 스트레인지 주인공은 완다 완전히 기대 이하 닥터의 성장도 얼렁뚱땅 설정도 얼렁뚱땅 억지스러운 전개 허술한 설정들 하는 것도 없이 멍청한 대사만 남발하는 닥터 스트레인지 총체적 난국
부정,진행형 스릴러랄까...엑스맨.워킹데드 추억소환,진행형 스릴러랄까 엑스맨 워킹데드 추억소환,진행형 스릴러랄까 엑스맨 워킹데드 추억 소환
부정,제발 이러지마...내머리속의 대혼돈,제발 이러지마 내머리속의 대혼돈,제발 이러지 마 내 머릿속의 대혼돈
부정,마블 영화는 점점 진부해지는구나,마블 영화는 점점 진부해지는구나,마블 영화는 점점 진부해지는구나
부정,호러 코미디 혹은 코미디 호러. 좀비물 좋아하고 코미디 본다고 생각하고 가면 만족스러울듯!,호러 코미디 혹은 코미디 호러 좀비물 좋아하고 코미디 본다고 생각하고 가면 만족스러울듯 ,호러 코미디 혹은 코미디 호러 좀비물 좋아하고 코미디 본다고 생각하고 가면 만족스러울 듯
부정,호러물 아니니???스칼렛 무서워....,호러물 아니니 스칼렛 무서워,호러물 아니니 스칼렛 무서워
부정,이건아니죠.제발. 이돈을 한국영화에 쏟기를,이건아니죠 제발 이돈을 한국영화에 쏟기를,이건 아니죠 제발 이돈을 한국 영화에 쏟기를
부정,유니버스는 뭔 소린지....손만 냅다 돌리다가 끝남,유니버스는 뭔 소린지 손만 냅다 돌리다가 끝남,유니버스는 뭔 소린지 손만 냅다 돌리다가 끝남
부정,샘 레이미 특유의 오랜된 연출이랑 닥스가 이제까지 보여줬던 화려한 연출이 전작들에비해 너무 허접했던거 빼면 연출적인 면에선 매우 좋았다...그런데 이런 연출적인 면들과 스토리의 조합이 영화를 너무 정신없는 듯하다...,샘 레이미 특유의 오랜된 연출이랑 닥스가 이제까지 보여줬던 화려한 연출이 전작들에비해 너무 허접했던거 빼면 연출적인 면에선 매우 좋았다 그런데 이런 연출적인 면들과 스토리의 조합이 영화를 너무 정신없는 듯하다,샘 레이미 특유의 오랜 된 연출이랑 닥스가 이제까지 보여줬던 화려한 연출이 전작들에 비해 너무 허접했던 거 빼면 연출적인 면에선 매우 좋았다 그런데 이런 연출적인 면들과 스토리의 조합이 영화를 너무 정신없는 듯하다
부정,영화끝날때까진 그래도 평점7생각했는데 어떤 쿠키두개다보라는 양심판블로거말듣고 2번째쿠키보는순간 평점5점됨,영화끝날때까진 그래도 평점7생각했는데 어떤 쿠키두개다보라는 양심판블로거말듣고 2번째쿠키보는순간 평점5점됨,영화 끝날 때까진 그래도 평점 7생각했는데 어떤 쿠키 두 개다 보라는 양 심판 블로거 말 듣고 2번째 쿠키 보는 순간 평점 5점 됨
부정,너무너무너무너무졸려요,너무너무너무너무졸려요,너무너무너무너무 졸려요
부정,완다비전 로키 다 재밌게 봤는데 이건 30분정도 이후로 볼 게 못됩니다 B급 스릴러코미디 그 이하임 마블에서 이런걸 만들었다는게 너무 배신감들고 좋은추억만 남기고 하차합니다,완다비전 로키 다 재밌게 봤는데 이건 30분정도 이후로 볼 게 못됩니다 B급 스릴러코미디 그 이하임 마블에서 이런걸 만들었다는게 너무 배신감들고 좋은추억만 남기고 하차합니다,완다 비전 로키 다 재밌게 봤는데 이건 30분 정도 이후로 볼 게 못됩니다 B급 스릴러 코미디 그 이하임 마블에서 이런 걸 만들었다는 게 너무 배신감 들고 좋은 추억만 남기고 하차합니다
부정,이제 마블영화가 유치한 B급 호러 영화가 됐네,이제 마블영화가 유치한 B급 호러 영화가 됐네,이제 마블 영화가 유치한 B급 호러 영화가 됐네
부정,한시간반동안 온 우주를 뒤집고10초만에 반성,한시간반동안 온 우주를 뒤집고10초만에 반성,한 시간 반 동안 온 우주를 뒤집고 10초 만에 반성
부정,"강력한 두 마법사인 스트레인지,스칼렛위치를초 소규모 액션들로 소비해버린 영화무대는 축구장인데 탁구대갖다놓고 그위에서 복싱함오히려 마블 팬이라서 더 실망스러움배우들이 연기력이 좋아서 망정이지 개망할뻔함 타노스와 싸우며 수백으로 분열하던 스트레인지는 어디가고 작은마법 뿅뿅이만소서러수프림 웡은 어디가고 채찍원툴만시도는 좋은데.. 원하는느낌은 알겠는데..이전 영화들에서 보던 규모가 크고 스펙타클한 액션은 절대 볼 수 없음좀비스트레인지.. 멋있는데.. 멋있는데...다른것도..좋은데..왜..왜.... 그거갖고 그거밖에 못뽑아..",강력한 두 마법사인 스트레인지 스칼렛위치를초 소규모 액션들로 소비해버린 영화무대는 축구장인데 탁구대갖다놓고 그위에서 복싱함오히려 마블 팬이라서 더 실망스러움배우들이 연기력이 좋아서 망정이지 개망할뻔함 타노스와 싸우며 수백으로 분열하던 스트레인지는 어디가고 작은마법 뿅뿅이만소서러수프림 웡은 어디가고 채찍원툴만시도는 좋은데 원하는느낌은 알겠는데 이전 영화들에서 보던 규모가 크고 스펙타클한 액션은 절대 볼 수 없음좀비스트레인지 멋있는데 멋있는데 다른것도 좋은데 왜 왜 그거갖고 그거밖에 못뽑아,강력한 두 마법사인 스트레인지 스칼렛 위치를 초 소규모 액션들로 소비해버린 영화 무대는 축구장인데 탁구대 갖다 놓고 그 위에서 복싱함 오히려 마블 팬이라서 더 실망스러움 배우들이 연기력이 좋아서 망정이지 개망할뻔함 타노스와 싸우며 수백으로 분열하던 스트레인지는 어디 가고 작은 마법 뿅뿅 위만 소서러 수프림 웡은 어디 가고 채찍원툴 만 시도는 좋은데 원하는 느낌은 알겠는데 이전 영화들에서 보던 규모가 크고 스펙터클한 액션은 절대 볼 수 없음 좀비 스트레인지 멋있는데 멋있는데 다른 것도 좋은데 왜왜 그거 갖고 그거밖에 못 뽑아
