분류,긍정리뷰,cleaned_text,spell_check
긍정,반전!!!꼭 또 보고싶은 마블영화!!,반전 꼭 또 보고싶은 마블영화 ,반전 꼭 또 보고 싶은 마블 영화
긍정,연기 잘하고 내용이 나쁘지는 않는데 들어가지 않아도 될 액션들이 많이 들어간듯...어쩄든 저는 너무 재밌게 잘 봤습니다 ㅎㅎ,연기 잘하고 내용이 나쁘지는 않는데 들어가지 않아도 될 액션들이 많이 들어간듯 어쩄든 저는 너무 재밌게 잘 봤습니다 ,연기 잘하고 내용이 나쁘지는 않는데 들어가지 않아도 될 액션들이 많이 들어간 듯 어쩄든 저는 너무 재밌게 잘 봤습니다 
긍정,진입장벽 높지만 이해하고 보면 재밌어요ㅎㅎ,진입장벽 높지만 이해하고 보면 재밌어요 ,진입장벽 높지만 이해하고 보면 재밌어요 
긍정,마블 역대영화중 최애 또 보러가야지,마블 역대영화중 최애 또 보러가야지,마블 역대 영화 중 최애 또 보러 가야지
긍정,넘나 재밌음. 꼭 보세요.,넘나 재밌음 꼭 보세요,넘나 재밌음 꼭 보세요
긍정,마블빠인 저는 엄청 재밌었습니다. 하지만 마블 팬이 아니라면 조금 고민하셔야 할 거예요. 진성 마블팬만을 위한 팬무비,마블빠인 저는 엄청 재밌었습니다 하지만 마블 팬이 아니라면 조금 고민하셔야 할 거예요 진성 마블팬만을 위한 팬무비,마블빠인 저는 엄청 재밌었습니다 하지만 마블 팬이 아니라면 조금 고민하셔야 할 거예요 진성 마블 팬만을 위한 팬무비
긍정,코로나 풀리고 모처럼 팝콘 먹으면서 여자친구와 재밌는 추억을 보냈네요!,코로나 풀리고 모처럼 팝콘 먹으면서 여자친구와 재밌는 추억을 보냈네요 ,코로나 풀리고 모처럼 팝콘 먹으면서 여자친구와 재밌는 추억을 보냈네요 
긍정,캬 역시 외국 씨지는..,캬 역시 외국 씨지는,캬 역시 외국 씨지는
긍정,공부 열심히해야겠다고 생각든 영화 꿀잼 ㅠ,공부 열심히해야겠다고 생각든 영화 꿀잼 ,공부 열심히 해야겠다고 생각 든 영화 꿀 잼
긍정,로키 완다비전 왓이프까지 보느라 고생한 나 칭찬해~,로키 완다비전 왓이프까지 보느라 고생한 나 칭찬해 ,로키 완다 비전 왓 이프까지 보느라 고생한 나 칭찬해 
긍정,"디즈니플러스에서 ""완다 비전""과 ""왓 이프"" 를 시청하고, 샘레이미 감독의 이전 작품들을 봤거나 어떤 내용인지 아는 사람들은 감동 200배. 그게 아니라면 이게 뭔일인가 싶을듯. 갑자기 전개되는 스토리에 당황하고, 샘레이미의 독특한 공포영화 클리셰와 이전 작품들의 오마주를 전혀 느끼지 못하고 재미는 절반으로 줄어듬...",디즈니플러스에서 완다 비전 과 왓 이프 를 시청하고 샘레이미 감독의 이전 작품들을 봤거나 어떤 내용인지 아는 사람들은 감동 200배 그게 아니라면 이게 뭔일인가 싶을듯 갑자기 전개되는 스토리에 당황하고 샘레이미의 독특한 공포영화 클리셰와 이전 작품들의 오마주를 전혀 느끼지 못하고 재미는 절반으로 줄어듬,디즈니 플러스에서 완다 비전과 왓 이프를 시청하고 샘 레이미 감독의 이전 작품들을 봤거나 어떤 내용인지 아는 사람들은 감동 200배 그게 아니라면 이게 뭔 일인가 싶을 듯 갑자기 전개되는 스토리에 당황하고 샘 레이미의 독특한 공포영화 클리셰와 이전 작품들의 오마주를 전혀 느끼지 못하고 재미는 절반으로 줄어듦
긍정,마블이 만들어서 기대하고 왔는데 정말 재밌읍니다.,마블이 만들어서 기대하고 왔는데 정말 재밌읍니다,마블이 만들어서 기대하고 왔는데 정말 재밌습니다
긍정,강추합니다 다시볼예정,강추합니다 다시볼예정,강추합니다 다시 볼 예정
긍정,중간중간 웃음포인트도 잇고재밋었어요ㅜ,중간중간 웃음포인트도 잇고재밋었어요 ,중간중간 웃음 포인트도 잇고 재밌었어요
긍정,완다비전이랑 로키 보셔야 재밌어요저는 둘다 보아서 너무너무 재밌었어요재미없다고 그래서 기대 1도 안했는데재밌어서 놀라버림,완다비전이랑 로키 보셔야 재밌어요저는 둘다 보아서 너무너무 재밌었어요재미없다고 그래서 기대 1도 안했는데재밌어서 놀라버림,완다 비전이랑 로키 보셔야 재밌어요 저는 둘 다 보아서 너무너무 재밌었어요 재미없다고 그래서 기대 1도 안 했는데 재밌어서 놀라버림
긍정,영화 평점이 왜 생각보다 낮은지 잘 모르겠지만 아는만큼 보이는게 아닐까?,영화 평점이 왜 생각보다 낮은지 잘 모르겠지만 아는만큼 보이는게 아닐까 ,영화 평점이 왜 생각보다 낮은지 잘 모르겠지만 아는 만큼 보이는 게 아닐까 
긍정,마블를 인피니트 워 포함해서 2번째로 보는데 이거 닥터스트레인지: 대혼돈의 멀티버스보니까 마블이 재미있어졌어요,마블를 인피니트 워 포함해서 2번째로 보는데 이거 닥터스트레인지 대혼돈의 멀티버스보니까 마블이 재미있어졌어요,마블를 인피니트 워 포함해서 2번째로 보는데 이거 닥터 스트레인지 대혼돈의 멀티버스 보니까 마블이 재미있어졌어요
긍정,재미없다고하는 사람들은 마블 제대로 안 본 사람들디즈니플러스 드라마도 안 본 사람들그냥 할많하않,재미없다고하는 사람들은 마블 제대로 안 본 사람들디즈니플러스 드라마도 안 본 사람들그냥 할많하않,재미없다고 하는 사람들은 마블 제대로 안 본 사람들 디즈니 플러스 드라마도 안 본 사람들 그냥 할많하않
긍정,"진짜 재밌는데, 점수가 낮은 이유를 모르겠다.",진짜 재밌는데 점수가 낮은 이유를 모르겠다,진짜 재밌는데 점수가 낮은 이유를 모르겠다
긍정,난 개재밌게 봤는데ㅋㅋㅋ,난 개재밌게 봤는데 ,난 개 재밌게 봤는데 
긍정,저는 개재미있게 봤는데 호불호가 많이 갈리나 보네요..,저는 개재미있게 봤는데 호불호가 많이 갈리나 보네요,저는 개 재미있게 봤는데 호불호가 많이 갈리나 보네요
긍정,"잉 나는 진짜 재밌게 봄. 이터널스, 스파이더맨 최근꺼, 베놈2 보다 배로 훨훨훨씬 재밌었음ㅋㅋㅋㅋ 약간 스릴러도 섞인 닥스 느낌? 역시 닥스는 배신하지 않는다.. 너무 재밌음.. 시간가는 줄 몰랐음",잉 나는 진짜 재밌게 봄 이터널스 스파이더맨 최근꺼 베놈2 보다 배로 훨훨훨씬 재밌었음 약간 스릴러도 섞인 닥스 느낌 역시 닥스는 배신하지 않는다 너무 재밌음 시간가는 줄 몰랐음,잉 나는 진짜 재밌게 봄 이터 널스 스파이더맨 최근 꺼 베놈 2 보다 배로 훨훨 훨씬 재밌었음 약간 스릴러도 섞인 닥스 느낌 역시 닥스는 배신하지 않는다 너무 재밌음 시간 가는 줄 몰랐음
긍정,스토리는 평범할 수 있느나 연출이나 영상미는 정말 신선하다!,스토리는 평범할 수 있느나 연출이나 영상미는 정말 신선하다 ,스토리는 평범할 수 있느나 연출이나 영상미는 정말 신선하다 
긍정,"대의를 위해 움직이는 히어로 닥터 스트레인지, 모든 것을 잃고 방황하는 상실의 히어로 스칼렛 위치. 두 히어로의 서로 다른 가치를 지키기 위한 멀티버스를 넘나드는 여정. (필수적으로 봐야 하는 이전 작품 : 닥터 스트레인지, 어벤져스 인피니티 워/엔드게임, 완다비전)",대의를 위해 움직이는 히어로 닥터 스트레인지 모든 것을 잃고 방황하는 상실의 히어로 스칼렛 위치 두 히어로의 서로 다른 가치를 지키기 위한 멀티버스를 넘나드는 여정 필수적으로 봐야 하는 이전 작품 닥터 스트레인지 어벤져스 인피니티 워 엔드게임 완다비전 ,대의를 위해 움직이는 히어로 닥터 스트레인지 모든 것을 잃고 방황하는 상실의 히어로 스칼렛 위치 두 히어로의 서로 다른 가치를 지키기 위한 멀티버스를 넘나드는 여정 필수적으로 봐야 하는 이전 작품 닥터 스트레인지 어벤저스 인피니티 워 엔드게임 완다 비전
