앱이름,유저이름,리뷰날짜,평점,리뷰의 좋아요 개수,리뷰 내용,전처리1,spell_check
당근마켓,류준,2021년 12월 28일,1,8.0,"검색하고 뒤로가기 할 때 이전 화면이 아닌, 이전이전 화면으로 가는 버그 알고 있는 것 같은데 언제 수정하나요? 버그 레포트한 후에 재현이 안된다고 해서 현상을 업데이트합니다. 1. 현재상태 : [설정]-[앱 캐시 정리] 한후에는 다시 재현이 안되는 것 같습니다. 2. 이전 문제 현상: . ""XXX""라는 검색어로 검색해서 리스트에서 item 선택 . 다시 main page에서 ""YYY""라는 검색어로 검색해서 리스트 보임. 여기서 하나의 list item에 들어가서 바로 back하면 ""YYY"" 검색 리스트 화면으로 돌아옴 . 그러나 ...
전체 리뷰",검색하고 뒤로가기 할 때 이전 화면이 아닌 이전이전 화면으로 가는 버그 알고 있는 것 같은데 언제 수정하나요 버그 레포트한 후에 재현이 안된다고 해서 현상을 업데이트합니다 현재상태 설정 앱 캐시 정리 한후에는 다시 재현이 안되는 것 같습니다 이전 문제 현상 XXX 라는 검색어로 검색해서 리스트에서 item 선택 다시 main page에서 YYY 라는 검색어로 검색해서 리스트 보임 여기서 하나의 list item에 들어가서 바로 back하면 YYY 검색 리스트 화면으로 돌아옴 그러나 전체 리뷰,검색하고 뒤로 가기 할 때 이전 화면이 아닌 이전이 전 화면으로 가는 버그 알고 있는 것 같은데 언제 수정하나요 버그 리포트한 후에 재현이 안된다고 해서 현상을 업데이트합니다 현재 상태 설정 앱 캐시 정리 한 후에는 다시 재현이 안 되는 것 같습니다 이전 문제 현상 XXX라는 검색어로 검색해서 리스트에서 item 선택 다시 main page에서 YYY라는 검색어로 검색해서 리스트 보임 여기서 하나의 list item에 들어가서 바로 back 하면 YYY 검색 리스트 화면으로 돌아옴 그러나 전체 리뷰
당근마켓,JH K,2022년 4월 9일,3,755.0,"1. 중복알림. 분명 푸쉬알림을 터치해서 확인했는데 앱 내 알림창(화면 상단 오른쪽 종 아이콘)에 계속 빨간 점 찍혀있고, 알림창 보면 아까/방금 눌러서 본 소식/알림이 하이라이트되어 있음. 매번 그럼. 불편. 2. 크롭오류. 채팅하면서 이미지를 첨부할 때, 그냥 보내는 것은 이상이 없는데, 크롭해서 보내면 보내는 순간 편집이력이 적용되지 않고 크롭 이전 이미지가 전송됨. 이건 실제로 쓰면서 3번 정도 연속으로 겪은 현상이라 불편하지만 외부 앱에서 크롭한 후 보내고 있음. 3. 개선요청. 동네가게 후기 서비스 중, 후기 하나를 선택...
전체 리뷰", 중복알림 분명 푸쉬알림을 터치해서 확인했는데 앱 내 알림창 화면 상단 오른쪽 종 아이콘 에 계속 빨간 점 찍혀있고 알림창 보면 아까 방금 눌러서 본 소식 알림이 하이라이트되어 있음 매번 그럼 불편 크롭오류 채팅하면서 이미지를 첨부할 때 그냥 보내는 것은 이상이 없는데 크롭해서 보내면 보내는 순간 편집이력이 적용되지 않고 크롭 이전 이미지가 전송됨 이건 실제로 쓰면서 번 정도 연속으로 겪은 현상이라 불편하지만 외부 앱에서 크롭한 후 보내고 있음 개선요청 동네가게 후기 서비스 중 후기 하나를 선택 전체 리뷰, 중복 알림 분명 푸시 알림을 터치해서 확인했는데 앱 내 알림 창 화면 상단 오른쪽 종 아이콘에 계속 빨간 점 찍혀있고 알림 창 보면 아까 방금 눌러서 본 소식 알림이 하이라이트 되어 있음 매번 그럼 불편 크롭 오류 채팅하면서 이미지를 첨부할 때 그냥 보내는 것은 이상이 없는데 크롭 해서 보내면 보내는 순간 편집 이력이 적용되지 않고 크롭 이전 이미지가 전송됨 이건 실제로 쓰면서 번 정도 연속으로 겪은 현상이라 불편하지만 외부 앱에서 크롭 한 후 보내고 있음 개선 요청 동네 가게 후기 서비스 중 후기 하나를 선택 전체 리뷰
당근마켓,Jinuk Cho,2022년 5월 10일,2,111.0,"핸드폰 블루투스 마우스 / 키보드 이용 불편! 합니다. 채팅을 하다보면 백스페이스 키가 잘 안먹히고 채팅시 오타가 안지워 지고... 매우 불편 합니다. 한번 이용해보시고 수정 부탁 드립니다. 참고 : 저의 환경은 s22 ultra, 로지텍 블루투스 키보드와, 마우스 사용 중입니다. 빠른 수정 부탁 드립니다. 가장 좋은 점 동내 생활 / 중고 마켓은 좋네요 ㅎㅎ",핸드폰 블루투스 마우스 키보드 이용 불편 합니다 채팅을 하다보면 백스페이스 키가 잘 안먹히고 채팅시 오타가 안지워 지고 매우 불편 합니다 한번 이용해보시고 수정 부탁 드립니다 참고 저의 환경은 s ultra 로지텍 블루투스 키보드와 마우스 사용 중입니다 빠른 수정 부탁 드립니다 가장 좋은 점 동내 생활 중고 마켓은 좋네요 ,핸드폰 블루투스 마우스 키보드 이용 불편합니다 채팅을 하다 보면 백스페이스키가 잘 안 먹히고 채팅 시 오타가 안 지워지고 매우 불편합니다 한번 이용해보시고 수정 부탁드립니다 참고 저의 환경은 s ultra 로지텍 블루투스 키보드와 마우스 사용 중입니다 빠른 수정 부탁드립니다 가장 좋은 점 동내 생활 중고 마켓은 좋네요 
당근마켓,윤준식,2022년 5월 16일,4,17.0,진상들은 별개로 당근마켓을 통해 사용하지 않는 물건을 판매하면서 유용하게 사용하고 있고 인터페이스도 간단명료하게 되어 있어서 편리해요. 근데 절전상태에서 제외시켜도 채팅 알림이 잘 안오는 고질적인 문제가 있어서 그 부분이 굉장히 아쉽네요,진상들은 별개로 당근마켓을 통해 사용하지 않는 물건을 판매하면서 유용하게 사용하고 있고 인터페이스도 간단명료하게 되어 있어서 편리해요 근데 절전상태에서 제외시켜도 채팅 알림이 잘 안오는 고질적인 문제가 있어서 그 부분이 굉장히 아쉽네요,진상들은 별개로 당근 마켓을 통해 사용하지 않는 물건을 판매하면서 유용하게 사용하고 있고 인터페이스도 간단명료하게 되어 있어서 편리해요 근데 절전상태에서 제외해도 채팅 알림이 잘 안 오는 고질적인 문제가 있어서 그 부분이 굉장히 아쉽네요
당근마켓,sky Kang,2022년 5월 12일,4,7.0,예전에는 안쓰는 물건 스티커 사서 붙여 버렸는데 당근마켓 생긴 후 당근마켓을 통해 안쓰는 물건을 팔고 또 필요한 물건을 구매도 하며 나눔도 하는데 다른 동네에 갔다 당근마켓 검색 후 관심 물건으로 등록하고 집에 와서 다시 확인해보려면 동네인증 때문에 못보구 구매를 포기하는 아쉬움이 몇번 있었네요. 관심물건으로 등록된 물건의 판매자와 당근 챗이 연결 되도록 시스템 개선이 되면 좋겠는데 어려울까요?,예전에는 안쓰는 물건 스티커 사서 붙여 버렸는데 당근마켓 생긴 후 당근마켓을 통해 안쓰는 물건을 팔고 또 필요한 물건을 구매도 하며 나눔도 하는데 다른 동네에 갔다 당근마켓 검색 후 관심 물건으로 등록하고 집에 와서 다시 확인해보려면 동네인증 때문에 못보구 구매를 포기하는 아쉬움이 몇번 있었네요 관심물건으로 등록된 물건의 판매자와 당근 챗이 연결 되도록 시스템 개선이 되면 좋겠는데 어려울까요 ,예전에는 안 쓰는 물건 스티커 사서 붙여 버렸는데 당근 마켓 생긴 후 당근 마켓을 통해 안 쓰는 물건을 팔고 또 필요한 물건을 구매도 하며 나눔도 하는데 다른 동네에 갔다 당근 마켓 검색 후 관심 물건으로 등록하고 집에 와서 다시 확인해보려면 동네 인증 때문에 못 보고 구매를 포기하는 아쉬움이 몇 번 있었네요 관심물건으로 등록된 물건의 판매자와 당근 챗이 연결 되도록 시스템 개선이 되면 좋겠는데 어려울까요 
당근마켓,삼남매가 알려주는뭐든지TV,2022년 5월 20일,5,,"우왕 당근마켓 너무 좋아요! 전 당근마켓을 사용하기 전 제가 쓰지 않는 일반 중고 물건을 판매하고 싶다는 생각을 가지고 있었어요. 그래서 판매를 하기 위해 유튜브로 판매하는 방법,인터넷 판매 방법 등등 여러가지를 찾아 보았는데 판매를 하려면 사업자등록을 해야 한다는 문제가 있었어요ㅜ 하지만 전 정식적으로 판매하고싶다는 생각은 없었고 그냥 취미로 쓰지 않는 물건을 판매하고 싶었어요. 그때 앱스토어에서 판매앱을 찾아보다 당근마켓을 발견해 깔았는데 물건 판매도 정말 쉽고 구매도 쉬워 정말 좋았어요!! 당근마켓에서 말투 안예쁘시고 매너 없...
전체 리뷰",우왕 당근마켓 너무 좋아요 전 당근마켓을 사용하기 전 제가 쓰지 않는 일반 중고 물건을 판매하고 싶다는 생각을 가지고 있었어요 그래서 판매를 하기 위해 유튜브로 판매하는 방법 인터넷 판매 방법 등등 여러가지를 찾아 보았는데 판매를 하려면 사업자등록을 해야 한다는 문제가 있었어요 하지만 전 정식적으로 판매하고싶다는 생각은 없었고 그냥 취미로 쓰지 않는 물건을 판매하고 싶었어요 그때 앱스토어에서 판매앱을 찾아보다 당근마켓을 발견해 깔았는데 물건 판매도 정말 쉽고 구매도 쉬워 정말 좋았어요 당근마켓에서 말투 안예쁘시고 매너 없 전체 리뷰,우왕 당근 마켓 너무 좋아요 전 당근 마켓을 사용하기 전 제가 쓰지 않는 일반 중고 물건을 판매하고 싶다는 생각을 가지고 있었어요 그래서 판매를 하기 위해 유튜브로 판매하는 방법 인터넷 판매 방법 등등 여러 가지를 찾아보았는데 판매를 하려면 사업자등록을 해야 한다는 문제가 있었어요 하지만 전 정식적으로 판매하고 싶다는 생각은 없었고 그냥 취미로 쓰지 않는 물건을 판매하고 싶었어요 그때 앱스토어에서 판매 앱을 찾아보다 당근 마켓을 발견해 깔았는데 물건 판매도 정말 쉽고 구매도 쉬워 정말 좋았어요 당근 마켓에서 말투 안 예쁘시고 매너 없진 체 리뷰
당근마켓,Mephist,2022년 5월 11일,5,9.0,우리 동네는 열심히 이불을 파는 분이 있습니다. 아이디는 자주 바뀌지만 게시글은 항상 같은 분입니다. 누군가는 사업자라고 열심히 신고하고 누군가는 계속 새 아이디로 같은 글을 도배합니다. 요즘 당근청소기 문제도 시끄럽고... 업자들에 대한 단속과 지속적인 개선이 필요해 보입니다.,우리 동네는 열심히 이불을 파는 분이 있습니다 아이디는 자주 바뀌지만 게시글은 항상 같은 분입니다 누군가는 사업자라고 열심히 신고하고 누군가는 계속 새 아이디로 같은 글을 도배합니다 요즘 당근청소기 문제도 시끄럽고 업자들에 대한 단속과 지속적인 개선이 필요해 보입니다,우리 동네는 열심히 이불을 파는 분이 있습니다 아이디는 자주 바뀌지만 게시글은 항상 같은 분입니다 누군가는 사업자라고 열심히 신고하고 누군가는 계속 새 아이디로 같은 글을 도배합니다 요즘 당근 청소기 문제도 시끄럽고 업자들에 대한 단속과 지속적인 개선이 필요해 보입니다
당근마켓,DY K,2022년 3월 21일,5,413.0,"개발자님, 당근마켓을 잘 쓰고있는 이용자입니다ㅎㅎ 하나 건의사항이 있는데요! 거래를 활발히 하다보면 채팅이 여러개가 쌓입니다. 그런데 채팅목록 삭제는 하나씩만 가능하더라구요! 선택삭제로 바꾸어서 원하는 만큼의 여러채팅을 한 번에 삭제하거나, 전체 삭제가 가능하도록 만드는게 어떨까요?? 몇 년전 것 까지 같이 삭제하는데 30분이 넘게 걸리네요ㅠㅠ 편의를 위해 선택삭제기능을 추가해주셨음 합니다!!",개발자님 당근마켓을 잘 쓰고있는 이용자입니다 하나 건의사항이 있는데요 거래를 활발히 하다보면 채팅이 여러개가 쌓입니다 그런데 채팅목록 삭제는 하나씩만 가능하더라구요 선택삭제로 바꾸어서 원하는 만큼의 여러채팅을 한 번에 삭제하거나 전체 삭제가 가능하도록 만드는게 어떨까요 몇 년전 것 까지 같이 삭제하는데 분이 넘게 걸리네요 편의를 위해 선택삭제기능을 추가해주셨음 합니다 ,개발자님 당근 마켓을 잘 쓰고 있는 이용자입니다 하나 건의사항이 있는데요 거래를 활발히 하다 보면 채팅이 여러 개가 쌓입니다 그런데 채팅 목록 삭제는 하나씩만 가능하더라고요 선택 삭제로 바꾸어서 원하는 만큼의 여러 채팅을 한 번에 삭제하거나 전체 삭제가 가능하도록 만드는 게 어떨까요 몇 년 전 것까지 같이 삭제하는데 분이 넘게 걸리네요 편의를 위해 선택 삭제 기능을 추가해주셨으면 합니다
당근마켓,JIN JEON,2022년 3월 22일,5,298.0,"앱 잘 쓰고 있어요. 그런데 동네범위 설정이 홈화면에서만 적용되고, 검색(검색할 때마다 검색필터 들어가서 범위 줄여줘야 함)이나 키워드알림에서는 최대치로 고정되는 점이 아쉬워요. 내동네설정에서 홈화면/검색(기본값)/키워드알림 각각 동네범위를 설정할 수 있게 해주세요",앱 잘 쓰고 있어요 그런데 동네범위 설정이 홈화면에서만 적용되고 검색 검색할 때마다 검색필터 들어가서 범위 줄여줘야 함 이나 키워드알림에서는 최대치로 고정되는 점이 아쉬워요 내동네설정에서 홈화면 검색 기본값 키워드알림 각각 동네범위를 설정할 수 있게 해주세요,앱 잘 쓰고 있어요 그런데 동네 범위 설정이 홈 화면에서만 적용되고 검색 검색할 때마다 검색 필터 들어가서 범위 줄여줘야 함이나 키워드 알림에서는 최대치로 고정되는 점이 아쉬워요 내 동네 설정에서 홈 화면 검색 기본값 키워드 알림 각각 동네 범위를 설정할 수 있게 해주세요
당근마켓,IEL,2022년 4월 2일,5,597.0,"가까운 거리의 사람들과 거래할 수 있어서 너무 좋아요! 사기 위험이 아예 없진 않지만, 대부분 판매글에서 본 그대로의 상품을 제대로 받아볼 수 있어서 믿음직스럽구요 ***** ***** 한가지 아쉬운 점은 프로필 뱃지 아이콘이 아이폰에서는 컬러풀하게 예쁜 그림으로 보이는데, 갤럭시에서는 컬러감 없이 그림만 나와서 가시성이 많이 떨어지네요 아이폰과 같은 색감에, 같은 뱃지 모습으로 나왔으면 좋겠어요 꼭! 좀 부탁드립니다!",가까운 거리의 사람들과 거래할 수 있어서 너무 좋아요 사기 위험이 아예 없진 않지만 대부분 판매글에서 본 그대로의 상품을 제대로 받아볼 수 있어서 믿음직스럽구요 한가지 아쉬운 점은 프로필 뱃지 아이콘이 아이폰에서는 컬러풀하게 예쁜 그림으로 보이는데 갤럭시에서는 컬러감 없이 그림만 나와서 가시성이 많이 떨어지네요 아이폰과 같은 색감에 같은 뱃지 모습으로 나왔으면 좋겠어요 꼭 좀 부탁드립니다 ,가까운 거리의 사람들과 거래할 수 있어서 너무 좋아요 사기 위험이 아예 없진 않지만 대부분 판매글에서 본 그대로의 상품을 제대로 받아볼 수 있어서 믿음직스럽고요 한가지 아쉬운 점은 프로필 배지 아이콘이 아이폰에서는 컬러풀하게 예쁜 그림으로 보이는데 갤럭시에서는 컬러감 없이 그림만 나와서 가시성이 많이 떨어지네요 아이폰과 같은 색감에 같은 배지 모습으로 나왔으면 좋겠어요 꼭 좀 부탁드립니다 
